source_reference_id,source_page,source_slot,product_name,decision,reason
CATV1-P209-R3L,209,R3L,RUBOR STICK,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P209-R3R,209,R3R,BB CREAM SUNSOON,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P210-R1L,210,R1L,AGUA DE ROSAS,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P210-R1R,210,R1R,KIT DE BROCHAS VIAJERAS,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P210-R2L,210,R2L,HELLO BEACH BRONZER,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P210-R2R,210,R2R,BLOQUEADOR SUNSOON,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P210-R3L,210,R3L,BASE,APPROVE_CREATE,HUMAN_GROUP_REVIEW: identity group resolved as DISTINCT_PRODUCTS; this reference is approved as its own canonical product candidate.
CATV1-P210-R3R,210,R3R,RUBOR,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P211-R1L,211,R1L,ENCRESPADOR,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P211-R1R,211,R1R,BROCHA FLUFLY,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P211-R2L,211,R2L,PALETA HARMONY,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P211-R2R,211,R2R,DELINEADOR MIAU,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P211-R3L,211,R3L,MONTOC BEAUTY SKIN GEL,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P211-R3R,211,R3R,POLVO 30G BANANA,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P213-R2R,213,R2R,DEADEMAS NUBE,REJECT,HUMAN_INDIVIDUAL_REVIEW: duplicate of CATV1-P139-R1R with the same image and price but an incoherent makeup-accessories classification.
CATV1-P215-R1L,215,R1L,BROCHA CEJAS,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P216-R1L,216,R1L,DEPILADOR SAGUI,DEFER,HUMAN_INDIVIDUAL_REVIEW: same image is repeated with conflicting category and/or price; canonical identity cannot be selected safely yet.
CATV1-P218-R1L,218,R1L,DELINEADOR BLANCO,APPROVE_CREATE,HUMAN_GROUP_REVIEW: identity group resolved as DISTINCT_PRODUCTS; this reference is approved as its own canonical product candidate.
CATV1-P218-R3L,218,R3L,PESTAÑAS PELOAPELO X,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P220-R2R,220,R2R,PESTAÑINAPROSAMAXI SILICON,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P220-R3L,220,R3L,PESTAÑINAPROSAPROFESIONAL,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P221-R2R,221,R2R,PILUSS PESTÁÑAS,APPROVE_CREATE,HUMAN_GROUP_REVIEW: identity group resolved as DISTINCT_PRODUCTS; this reference is approved as its own canonical product candidate.
CATV1-P221-R3L,221,R3L,PILUSS PESTÁÑAS,APPROVE_CREATE,HUMAN_GROUP_REVIEW: identity group resolved as DISTINCT_PRODUCTS; this reference is approved as its own canonical product candidate.
CATV1-P221-R3R,221,R3R,DELINEADOR BLANCO,APPROVE_CREATE,HUMAN_GROUP_REVIEW: identity group resolved as DISTINCT_PRODUCTS; this reference is approved as its own canonical product candidate.
CATV1-P222-R1L,222,R1L,DEPILADOR SAGUI,DEFER,HUMAN_INDIVIDUAL_REVIEW: same image is repeated with conflicting category and/or price; canonical identity cannot be selected safely yet.
CATV1-P222-R2L,222,R2L,ENCRESPADOR FIFTY,DEFER,HUMAN_GROUP_REVIEW: product creation deferred because the group is unresolved or requires ProductVariant support before canonical creation.
CATV1-P222-R3L,222,R3L,ENCRESPADOR FIFTY,DEFER,HUMAN_GROUP_REVIEW: product creation deferred because the group is unresolved or requires ProductVariant support before canonical creation.
CATV1-P223-R1L,223,R1L,ENCRESPADOR FIFTY,DEFER,HUMAN_GROUP_REVIEW: product creation deferred because the group is unresolved or requires ProductVariant support before canonical creation.
CATV1-P223-R1R,223,R1R,COSMETIQUERA BOLSO,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P225-R2R,225,R2R,USHAS 12 TONOS DIFERENTES X,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P227-R2L,227,R2L,GLOSS CON COLOR LLAVERO,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P229-R1R,229,R1R,CORRECTOR USHAS,DEFER,HUMAN_GROUP_REVIEW: product creation deferred because the group is unresolved or requires ProductVariant support before canonical creation.
CATV1-P229-R2R,229,R2R,CORRECTOR MIIS,DEFER,HUMAN_GROUP_REVIEW: product creation deferred because the group is unresolved or requires ProductVariant support before canonical creation.
CATV1-P230-R2R,230,R2R,CORRECTOR USHAS,DEFER,HUMAN_GROUP_REVIEW: product creation deferred because the group is unresolved or requires ProductVariant support before canonical creation.
CATV1-P230-R3L,230,R3L,POLVO DE HADAS,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P231-R1L,231,R1L,ILUMIANDOR,APPROVE_CREATE,HUMAN_INDIVIDUAL_REVIEW: visible final catalog evidence is sufficient and no unresolved identity group remains; approve canonical product creation candidate.
CATV1-P231-R2R,231,R2R,CORRECTOR MIIS,DEFER,HUMAN_GROUP_REVIEW: product creation deferred because the group is unresolved or requires ProductVariant support before canonical creation.
CATV1-P231-R3L,231,R3L,CORRECTOR MIIS,DEFER,HUMAN_GROUP_REVIEW: product creation deferred because the group is unresolved or requires ProductVariant support before canonical creation.
CATV1-P233-R1L,233,R1L,SPLASH PURPURE,DEFER,HUMAN_GROUP_REVIEW: product creation deferred because the group is unresolved or requires ProductVariant support before canonical creation.
CATV1-P233-R3L,233,R3L,SPLASH PURPURE,DEFER,HUMAN_GROUP_REVIEW: product creation deferred because the group is unresolved or requires ProductVariant support before canonical creation.
CATV1-P236-R3L,236,R3L,KIT CARTUCHERA,DEFER,HUMAN_GROUP_REVIEW: product creation deferred because the group is unresolved or requires ProductVariant support before canonical creation.
CATV1-P238-R1R,238,R1R,LABIAL HUMECTANTE,APPROVE_CREATE,HUMAN_GROUP_REVIEW: identity group resolved as DISTINCT_PRODUCTS; this reference is approved as its own canonical product candidate.
CATV1-P238-R2L,238,R2L,LABIAL HUMECTANTE,APPROVE_CREATE,HUMAN_GROUP_REVIEW: identity group resolved as DISTINCT_PRODUCTS; this reference is approved as its own canonical product candidate.
CATV1-P238-R3L,238,R3L,KIT CARTUCHERA,DEFER,HUMAN_GROUP_REVIEW: product creation deferred because the group is unresolved or requires ProductVariant support before canonical creation.
